nombre,sub_category,latitud,longitud,distance,city,category,ponder,geometry
Urbanspace Interiors,Design Studio,30.269045000000002,-97.75153,455,Austin,Design Studio,0.06,POINT (-97.75153 30.269045)
Jonathan Adler,Design Studio,30.270651457745725,-97.75563459093881,68,Austin,Design Studio,0.06,POINT (-97.75563459093881 30.27065145774572)
BlkMkt Digital,Design Studio,30.270388654253324,-97.75674531173587,152,Austin,Design Studio,0.06,POINT (-97.75674531173587 30.27038865425332)
Pixel Peach,Design Studio,30.270267,-97.75677,163,Austin,Design Studio,0.06,POINT (-97.75677 30.270267)
Minuteman Press,Print Shop,30.273324,-97.759424,440,Austin,Design Studio,0.06,POINT (-97.759424 30.273324)
Bright Health,Insurance Office,30.272478000000003,-97.757561,238,Austin,Design Studio,0.06,POINT (-97.757561 30.272478)
Gentry Gallery,Design Studio,30.271988,-97.75835,284,Austin,Design Studio,0.06,POINT (-97.75834999999999 30.271988)
Arete European Kitchens,Design Studio,30.273027000000003,-97.753454,279,Austin,Design Studio,0.06,POINT (-97.753454 30.273027)
May Designs Studio,Design Studio,30.274122,-97.762491,742,Austin,Design Studio,0.06,POINT (-97.762491 30.274122)
StudioGee Architecture,Design Studio,30.273649215698242,-97.75865936279297,402,Austin,Design Studio,0.06,POINT (-97.75865936279297 30.27364921569824)
Hack Studio,Design Studio,30.274418,-97.762763,780,Austin,Design Studio,0.06,POINT (-97.76276300000001 30.274418)
DANG! Studios,Design Studio,30.2764835357666,-97.74900817871094,854,Austin,Design Studio,0.06,POINT (-97.74900817871094 30.2764835357666)
Danuvox Studios,Design Studio,30.279086959735135,-97.75789669756223,900,Austin,Design Studio,0.06,POINT (-97.75789669756223 30.27908695973514)
The Martin House,Preschool,30.274393,-97.760895,623,Austin,School,0.15,POINT (-97.760895 30.274393)
Pease Elementary,Elementary School,30.274782003099872,-97.74826702164712,799,Austin,School,0.15,POINT (-97.74826702164712 30.27478200309987)
Mathews Elementary School,Elementary School,30.278495372719583,-97.76129259928938,978,Austin,School,0.15,POINT (-97.76129259928938 30.27849537271958)
Tasktop,Tech Startup,30.271439653457044,-97.75455336037079,94,Austin,Tech Startup,0.04,POINT (-97.75455336037079 30.27143965345704)
DFJ Mercury Austin HQ,Tech Startup,30.275662540917835,-97.75843790845195,564,Austin,Tech Startup,0.04,POINT (-97.75843790845195 30.27566254091784)
Union POS,Tech Startup,30.273803,-97.758091,376,Austin,Tech Startup,0.04,POINT (-97.75809099999999 30.273803)
Lunar Collective,Tech Startup,30.267177,-97.744803,1125,Austin,Tech Startup,0.04,POINT (-97.744803 30.267177)
Umbel,Tech Startup,30.266565999999997,-97.752669,589,Austin,Tech Startup,0.04,POINT (-97.752669 30.266566)
Brain+Trust Partners,Tech Startup,30.265892,-97.749415,837,Austin,Tech Startup,0.04,POINT (-97.749415 30.265892)
Silverton,Tech Startup,30.273941999999998,-97.748306,755,Austin,Tech Startup,0.04,POINT (-97.748306 30.273942)
Square Root,Tech Startup,30.273697,-97.761317,620,Austin,Tech Startup,0.04,POINT (-97.76131700000001 30.273697)
Digital Turbine,Tech Startup,30.265259,-97.74991,858,Austin,Tech Startup,0.04,POINT (-97.74991 30.265259)
thoughtbot,Tech Startup,30.274716,-97.762911,808,Austin,Tech Startup,0.04,POINT (-97.762911 30.274716)
eDoorways,Tech Startup,30.269061,-97.753712,300,Austin,Tech Startup,0.04,POINT (-97.75371199999999 30.269061)
Qcue Headquarters,Tech Startup,30.272009000000004,-97.757663,222,Austin,Tech Startup,0.04,POINT (-97.75766299999999 30.272009)
Civitas Learning Inc. HQ,Tech Startup,30.27138239892707,-97.75811791419983,250,Austin,Tech Startup,0.04,POINT (-97.75811791419983 30.27138239892707)
TourGigs,Tech Startup,30.272825629863963,-97.7578330259658,282,Austin,Tech Startup,0.04,POINT (-97.75783302596579 30.27282562986396)
Written,Tech Startup,30.271511,-97.758053,245,Austin,Tech Startup,0.04,POINT (-97.758053 30.271511)
Favor Delivery,Tech Startup,30.275040713465334,-97.76363974539463,887,Austin,Tech Startup,0.04,POINT (-97.76363974539463 30.27504071346533)
Handshakez,Tech Startup,30.268431002261316,-97.7453863328599,1023,Austin,Tech Startup,0.04,POINT (-97.74538633285989 30.26843100226132)
Code for America Austin Headquarters #cfaATX,Tech Startup,30.264907836914062,-97.74727630615234,1061,Austin,Tech Startup,0.04,POINT (-97.74727630615234 30.26490783691406)
Datafiniti,Tech Startup,30.27378716359225,-97.74973658963454,623,Austin,Tech Startup,0.04,POINT (-97.74973658963454 30.27378716359225)
Waterfall,Tech Startup,30.27499202954598,-97.76368771989007,888,Austin,Tech Startup,0.04,POINT (-97.76368771989007 30.27499202954598)
SimplyTapp,Tech Startup,30.26569175720215,-97.74656677246094,1060,Austin,Tech Startup,0.04,POINT (-97.74656677246094 30.26569175720215)
MyVidster,Tech Startup,30.268418,-97.751681,485,Austin,Tech Startup,0.04,POINT (-97.751681 30.268418)
White Lion,Tech Startup,30.270362334772322,-97.74800202973971,729,Austin,Tech Startup,0.04,POINT (-97.74800202973971 30.27036233477232)
Toopher,Tech Startup,30.275662,-97.76511500000001,1044,Austin,Tech Startup,0.04,POINT (-97.76511500000001 30.275662)
Subject Matter,Tech Startup,30.275528,-97.764628,996,Austin,Tech Startup,0.04,POINT (-97.764628 30.275528)
AppTight Austin,Tech Startup,30.262998,-97.757993,949,Austin,Tech Startup,0.04,POINT (-97.757993 30.262998)
Paymetric,Tech Startup,30.26466549049134,-97.7478956555246,1037,Austin,Tech Startup,0.04,POINT (-97.7478956555246 30.26466549049134)
burks graphics,Tech Startup,30.270372883158053,-97.75054831360536,487,Austin,Tech Startup,0.04,POINT (-97.75054831360536 30.27037288315805)
RunOptimized,Advertising Agency,30.27476903857545,-97.75111198425293,576,Austin,Tech Startup,0.04,POINT (-97.75111198425293 30.27476903857545)
Razorfish,Office,30.26901893916689,-97.74551465469186,993,Austin,Tech Startup,0.04,POINT (-97.74551465469186 30.26901893916689)
Starbucks,Coffee Shop,30.269783,-97.753914,225,Austin,Coffee Shop,0.07,POINT (-97.75391399999999 30.269783)
Starbucks,Coffee Shop,30.26585756712895,-97.7463083781941,1070,Austin,Coffee Shop,0.07,POINT (-97.7463083781941 30.26585756712895)
Starbucks,Coffee Shop,30.261258698741642,-97.75796442738695,1137,Austin,Coffee Shop,0.07,POINT (-97.75796442738695 30.26125869874164)
Austin Train Station - Amtrak (AUS),Train Station,30.269559478737243,-97.75686073732146,228,Austin,Train Station,0.08,POINT (-97.75686073732146 30.26955947873724)
24 Diner,Diner,30.271858001953817,-97.7539821602583,162,Austin,Nightlife Spot,0.9,POINT (-97.7539821602583 30.27185800195382)
Z'Tejas Mexican Restaurant and Grill,Mexican Restaurant,30.272471,-97.755781,137,Austin,Nightlife Spot,0.9,POINT (-97.755781 30.272471)
Better Half Coffee & Cocktails,Café,30.27140520790601,-97.75854622093502,291,Austin,Nightlife Spot,0.9,POINT (-97.75854622093502 30.27140520790601)
The Grove Wine Bar & Kitchen - Downtown,Wine Bar,30.270575556202783,-97.751098561664,431,Austin,Nightlife Spot,0.9,POINT (-97.75109856166399 30.27057555620278)
Tiniest Bar In Texas,Bar,30.269667271100275,-97.7530157587751,298,Austin,Nightlife Spot,0.9,POINT (-97.75301575877511 30.26966727110027)
The Codependent,Cocktail Bar,30.267467,-97.75072,625,Austin,Nightlife Spot,0.9,POINT (-97.75072 30.267467)
Devil May Care,Lounge,30.269570892546344,-97.74749958518441,793,Austin,Nightlife Spot,0.9,POINT (-97.74749958518441 30.26957089254634)
Perfect Strangers,Bar,30.266953,-97.748094,859,Austin,Nightlife Spot,0.9,POINT (-97.74809399999999 30.266953)
Hold Out Brewing,Brewery,30.271392822265625,-97.75900268554688,335,Austin,Nightlife Spot,0.9,POINT (-97.75900268554688 30.27139282226562)
Chuy's Tex-Mex,Mexican Restaurant,30.263844580302678,-97.76333212742121,1116,Austin,Nightlife Spot,0.9,POINT (-97.76333212742121 30.26384458030268)
The Peacock,Mediterranean Restaurant,30.266044,-97.750168,775,Austin,Nightlife Spot,0.9,POINT (-97.750168 30.266044)
Mean Eyed Cat,Bar,30.27463586030961,-97.76505121297244,990,Austin,Nightlife Spot,0.9,POINT (-97.76505121297244 30.27463586030961)
Lavaca Street Bar & Grill,Bar,30.267113408163553,-97.74572607073826,1048,Austin,Nightlife Spot,0.9,POINT (-97.74572607073826 30.26711340816355)
The Tavern,Sports Bar,30.277131812274142,-97.75125780669028,771,Austin,Nightlife Spot,0.9,POINT (-97.75125780669028 30.27713181227414)
