nombre,sub_category,latitud,longitud,distance,location,city,category,ponder
Urbanspace Interiors,Design Studio,30.269045000000002,-97.75153,455,"{'type': 'Point', 'coordinates': [30.269045000000002, -97.75153]}",Austin,Design Studio,0.06
Jonathan Adler,Design Studio,30.270651457745725,-97.75563459093881,68,"{'type': 'Point', 'coordinates': [30.270651457745725, -97.75563459093881]}",Austin,Design Studio,0.06
BlkMkt Digital,Design Studio,30.270388654253324,-97.75674531173587,152,"{'type': 'Point', 'coordinates': [30.270388654253324, -97.75674531173587]}",Austin,Design Studio,0.06
Pixel Peach,Design Studio,30.270267,-97.75677,163,"{'type': 'Point', 'coordinates': [30.270267, -97.75677]}",Austin,Design Studio,0.06
Bright Health,Insurance Office,30.272478000000003,-97.757561,238,"{'type': 'Point', 'coordinates': [30.272478000000003, -97.757561]}",Austin,Design Studio,0.06
Gentry Gallery,Design Studio,30.271988,-97.75835,284,"{'type': 'Point', 'coordinates': [30.271988, -97.75835]}",Austin,Design Studio,0.06
Arete European Kitchens,Design Studio,30.273027000000003,-97.753454,279,"{'type': 'Point', 'coordinates': [30.273027000000003, -97.753454]}",Austin,Design Studio,0.06
Minuteman Press,Print Shop,30.273324,-97.759424,440,"{'type': 'Point', 'coordinates': [30.273324, -97.759424]}",Austin,Design Studio,0.06
Danuvox Studios,Design Studio,30.279086959735135,-97.75789669756223,900,"{'type': 'Point', 'coordinates': [30.279086959735135, -97.75789669756223]}",Austin,Design Studio,0.06
DANG! Studios,Design Studio,30.2764835357666,-97.74900817871094,854,"{'type': 'Point', 'coordinates': [30.2764835357666, -97.74900817871094]}",Austin,Design Studio,0.06
StudioGee Architecture,Design Studio,30.273649215698242,-97.75865936279297,402,"{'type': 'Point', 'coordinates': [30.273649215698242, -97.75865936279297]}",Austin,Design Studio,0.06
Hack Studio,Design Studio,30.274418,-97.762763,780,"{'type': 'Point', 'coordinates': [30.274418, -97.762763]}",Austin,Design Studio,0.06
May Designs Studio,Design Studio,30.274122,-97.762491,742,"{'type': 'Point', 'coordinates': [30.274122, -97.762491]}",Austin,Design Studio,0.06
The Martin House,Preschool,30.274393,-97.760895,623,"{'type': 'Point', 'coordinates': [30.274393, -97.760895]}",Austin,School,0.15
Pease Elementary,Elementary School,30.274782003099872,-97.74826702164712,799,"{'type': 'Point', 'coordinates': [30.274782003099872, -97.74826702164712]}",Austin,School,0.15
Mathews Elementary School,Elementary School,30.278495372719583,-97.76129259928938,978,"{'type': 'Point', 'coordinates': [30.278495372719583, -97.76129259928938]}",Austin,School,0.15
Tasktop,Tech Startup,30.271439653457044,-97.75455336037079,94,"{'type': 'Point', 'coordinates': [30.271439653457044, -97.75455336037079]}",Austin,Tech Startup,0.04
